location,date,total_cases,NewCases,DON
World,5/1/22,27,27,NO
World,5/2/22,27,0,NO
World,5/3/22,27,0,NO
World,5/4/22,27,0,NO
World,5/5/22,27,0,NO
World,5/6/22,27,0,OTHER
World,5/7/22,28,1,NO
World,5/8/22,28,0,NO
World,5/9/22,28,0,OTHER
World,5/10/22,28,0,NO
World,5/11/22,28,0,NO
World,5/12/22,28,0,OTHER
World,5/13/22,32,4,OTHER
World,5/14/22,34,2,NO
World,5/15/22,34,0,NO
World,5/16/22,39,5,MPOX
World,5/17/22,42,3,OTHER
World,5/18/22,47,5,MPOX
World,5/19/22,65,18,OTHER
World,5/20/22,122,57,NO
World,5/21/22,148,26,MPOX
World,5/22/22,169,21,NO
World,5/23/22,204,35,NO
World,5/24/22,232,28,NO
World,5/25/22,279,47,NO
World,5/26/22,330,51,OTHER
World,5/27/22,355,25,OTHER
World,5/28/22,355,0,NO
World,5/29/22,356,1,MPOX
World,5/30/22,512,156,NO
World,5/31/22,570,58,NO
World,6/1/22,756,186,OTHER
World,6/2/22,847,91,NO
World,6/3/22,951,104,NO
World,6/4/22,971,20,MPOX
World,6/5/22,971,0,NO
World,6/6/22,1064,93,NO
World,6/7/22,1119,55,NO
World,6/8/22,1281,162,NO
World,6/9/22,1327,46,NO
World,6/10/22,1511,184,MPOX
World,6/11/22,1511,0,NO
World,6/12/22,1519,8,NO
World,6/13/22,1712,193,NO
World,6/14/22,1862,150,NO
World,6/15/22,2162,300,NO
World,6/16/22,2286,124,NO
World,6/17/22,2729,443,MPOX
World,6/18/22,2729,0,NO
World,6/19/22,2729,0,NO
World,6/20/22,3059,330,NO
World,6/21/22,3276,217,NO
World,6/22/22,3595,319,NO
World,6/23/22,3882,287,OTHER
World,6/24/22,4287,405,OTHER
World,6/25/22,4331,44,NO
World,6/26/22,4333,2,NO
World,6/27/22,4513,180,MPOX
World,6/28/22,5018,505,NO
World,6/29/22,5442,424,NO
World,6/30/22,5798,356,NO
World,7/1/22,6015,217,NO
World,7/2/22,6039,24,NO
World,7/3/22,6047,8,NO
World,7/4/22,6218,171,OTHER
World,7/5/22,6976,758,NO
World,7/6/22,7956,980,NO
World,7/7/22,8124,168,NO
World,7/8/22,8146,22,NO
World,7/9/22,8146,0,NO
World,7/10/22,9291,1145,NO
World,7/11/22,9468,177,NO
World,7/12/22,9902,434,OTHER
World,7/13/22,11556,1654,NO
World,7/14/22,11796,240,NO
World,7/15/22,12029,233,NO
World,7/16/22,12029,0,NO
World,7/17/22,12029,0,NO
World,7/18/22,12715,686,NO
World,7/19/22,13483,768,NO
World,7/20/22,15483,2000,OTHER
World,7/21/22,16123,640,NO
World,7/22/22,16366,243,NO
World,7/23/22,16366,0,OTHER
World,7/24/22,16374,8,NO
World,7/25/22,16763,389,NO
World,7/26/22,17557,794,NO
World,7/27/22,20983,3426,NO
World,7/28/22,21367,384,NO
World,7/29/22,21599,232,NO
World,7/30/22,21599,0,NO
World,7/31/22,21601,2,NO
World,8/1/22,22614,1013,NO
World,8/2/22,23485,871,NO
World,8/3/22,27222,3737,OTHER
World,8/4/22,27564,342,NO
World,8/5/22,27787,223,NO
World,8/6/22,27791,4,NO
World,8/7/22,27791,0,NO
World,8/8/22,28567,776,NO
World,8/9/22,29194,627,NO
World,8/10/22,34037,4843,NO
World,8/11/22,34362,325,NO
