Date,Sum,New,DON,COVID_WER,SitRep,W_Sit
1/1/20,0,0,NO,NO,NO,NO
1/2/20,0,0,NO,NO,NO,NO
1/3/20,0,0,NO,NO,NO,NO
1/4/20,0,0,NO,NO,NO,NO
1/5/20,0,0,COVID,NO,NO,NO
1/6/20,0,0,NO,NO,NO,NO
1/7/20,0,0,NO,NO,NO,NO
1/8/20,0,0,NO,NO,NO,NO
1/9/20,0,0,NO,NO,NO,NO
1/10/20,0,0,NO,NO,NO,NO
1/11/20,0,0,NO,NO,NO,NO
1/12/20,0,0,COVID,NO,NO,NO
1/13/20,0,0,NO,NO,NO,NO
1/14/20,0,0,COVID,NO,NO,NO
1/15/20,0,0,NO,NO,NO,NO
1/16/20,0,0,OTHER,NO,NO,NO
1/17/20,0,0,COVID,NO,NO,NO
1/18/20,0,0,NO,NO,NO,NO
1/19/20,0,0,NO,NO,NO,NO
1/20/20,0,0,NO,NO,NO,NO
1/21/20,0,0,COVID,NO,Daily,NO
1/22/20,557,557,NO,NO,Daily,NO
1/23/20,657,100,OTHER,NO,Daily,NO
1/24/20,944,287,NO,NO,Daily,NO
1/25/20,1437,493,NO,NO,Daily,NO
1/26/20,2120,683,NO,NO,Daily,NO
1/27/20,2929,809,NO,NO,Daily,NO
1/28/20,5580,2651,NO,NO,Daily,NO
1/29/20,6169,589,NO,NO,Daily,NO
1/30/20,8237,2068,OTHER,NO,Daily,NO
1/31/20,9927,1690,OTHER,NO,Daily,NO
2/1/20,12038,2111,NO,NO,Daily,NO
2/2/20,16787,4749,NO,NO,Daily,NO
2/3/20,19887,3100,NO,NO,Daily,NO
2/4/20,23899,4012,NO,NO,Daily,NO
2/5/20,27644,3745,NO,NO,Daily,NO
2/6/20,30806,3162,OTHER,NO,Daily,NO
2/7/20,34400,3594,NO,NO,Daily,NO
2/8/20,37131,2731,NO,NO,Daily,NO
2/9/20,40162,3031,NO,NO,Daily,NO
2/10/20,42771,2609,NO,NO,Daily,NO
2/11/20,44814,2043,NO,NO,Daily,NO
2/12/20,45232,418,NO,NO,Daily,NO
2/13/20,60384,15152,OTHER,NO,Daily,NO
2/14/20,66912,6528,NO,NO,Daily,NO
2/15/20,69055,2143,NO,NO,Daily,NO
2/16/20,71238,2183,NO,NO,Daily,NO
2/17/20,73273,2035,NO,NO,Daily,NO
2/18/20,75155,1882,NO,NO,Daily,NO
2/19/20,75655,500,NO,NO,Daily,NO
